Comment,Designator,Footprint,JLCPCB Part #,LCSC,Quantity
"74HC595D,118",U2,SO-16_3.9x9.9mm_P1.27mm,C5947,C5947,1
1N4148W,"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",SOD-123,C81598,C81598,30
